customerID,tenure,MonthlyCharges,TotalCharges,Anomaly_Label
3655-SNQYZ,69,113.25,7895.15,Anomaly
5954-BDFSG,72,107.5,7853.7,Anomaly
0526-SXDJP,72,42.1,2962.0,Anomaly
3192-NQECA,68,110.0,7611.85,Anomaly
2848-YXSMW,72,19.4,1363.25,Anomaly
6734-PSBAW,72,23.55,1723.95,Anomaly
1679-JRFBR,70,108.15,7930.55,Anomaly
1875-QIVME,2,104.4,242.8,Anomaly
9680-NIAUV,72,109.7,8129.3,Anomaly
7255-SSFBC,72,112.25,8041.65,Anomaly
6348-SNFUS,72,55.45,4179.2,Anomaly
9286-BHDQG,72,45.25,3139.8,Anomaly
7083-MIOPC,72,20.25,1566.9,Anomaly
6614-FHDBO,72,109.2,7878.3,Anomaly
7017-VFHAY,61,115.1,7008.15,Anomaly
6655-LHBYW,50,114.35,5791.1,Anomaly
3606-TWKGI,13,106.9,1364.3,Anomaly
1950-KSVVJ,45,113.3,5032.25,Anomaly
4716-HHKQH,20,107.05,2172.05,Anomaly
1557-EMYVT,43,115.05,4895.1,Anomaly
3520-FJGCV,72,112.6,8126.65,Anomaly
0177-PXBAT,33,109.9,3694.7,Anomaly
7606-BPHHN,72,19.8,1468.75,Anomaly
4376-KFVRS,72,114.05,8468.2,Anomaly
0771-WLCLA,16,112.95,1882.55,Anomaly
0206-TBWLC,54,114.65,6049.5,Anomaly
1480-BKXGA,72,116.05,8404.9,Anomaly
2996-XAUVF,70,40.05,2799.75,Anomaly
5168-MQQCA,72,108.5,8003.8,Anomaly
4374-YMUSQ,34,116.25,3899.05,Anomaly
8606-CIQUL,72,115.75,8399.15,Anomaly
6859-QNXIQ,72,113.1,8248.5,Anomaly
3580-HYCSP,72,110.3,7966.9,Anomaly
1352-HNSAW,72,115.6,8220.4,Anomaly
0619-OLYUR,72,111.9,8071.05,Anomaly
8207-DMRVL,72,114.55,8306.05,Anomaly
2469-DTSGX,72,111.65,7943.45,Anomaly
5760-IFJOZ,3,107.95,313.6,Anomaly
4312-KFRXN,72,25.4,1710.9,Anomaly
6647-ZEDXT,30,110.45,3327.05,Anomaly
2499-AJYUA,72,110.8,7882.25,Anomaly
6919-ELBGL,72,114.95,8196.4,Anomaly
8823-RLPWL,72,110.65,8065.65,Anomaly
4992-LTJNE,72,55.3,3983.6,Anomaly
0115-TFERT,21,111.2,2317.1,Anomaly
6007-TCTST,72,115.8,8476.5,Anomaly
9851-KIELU,10,110.1,1043.3,Anomaly
1258-YMZNM,27,110.5,2857.6,Anomaly
8975-SKGRX,71,116.1,8310.55,Anomaly
