customerID,tenure,MonthlyCharges,TotalCharges,Churn,EstimatedCLV,CLVGroup
7590-VHVEG,1,29.85,29.85,No,967.7903156996588,Standard-Value
5575-GNVDE,34,56.95,1889.5,No,1846.4207195676909,Standard-Value
3668-QPYBK,2,53.85,108.15,Yes,1745.9131825938568,Standard-Value
7795-CFOCW,45,42.3,1840.75,No,1371.441552901024,Standard-Value
9237-HQITU,2,70.7,151.65,Yes,2292.220278725825,Standard-Value
9305-CDSKC,8,99.65,820.5,Yes,3230.8309869169516,High-Value
1452-KIOVK,22,89.1,1949.4,No,2888.78114334471,Standard-Value
6713-OKOMC,10,29.75,301.9,No,964.5481370875996,Standard-Value
7892-POOKP,28,104.8,3046.05,Yes,3397.803185437998,High-Value
6388-TABGU,62,56.15,3487.95,No,1820.4832906712174,Standard-Value
9763-GRSKD,13,49.95,587.45,No,1619.4682167235496,Standard-Value
7469-LKBCI,16,18.95,326.8,No,614.3928469852104,Standard-Value
8091-TTVAX,58,100.35,5681.1,No,3253.5262372013653,High-Value
0280-XJGEX,49,103.7,5036.3,Yes,3362.1392207053473,High-Value
5129-JLPIS,25,105.5,2686.05,No,3420.498435722412,High-Value
3655-SNQYZ,69,113.25,7895.15,No,3671.767278156997,High-Value
8191-XWSZG,52,20.65,1022.95,No,669.5098833902161,Standard-Value
9959-WOFKT,71,106.7,7382.25,No,3459.404579067122,High-Value
4190-MFLUW,10,55.2,528.35,Yes,1789.6825938566556,Standard-Value
4183-MYFRB,21,90.05,1862.9,No,2919.581840159272,High-Value
8779-QRDMV,1,39.65,39.65,Yes,1285.5238196814562,Standard-Value
1680-VDCWW,12,19.8,202.25,No,641.9513651877133,Standard-Value
1066-JKSGK,1,20.15,20.15,Yes,653.2989903299203,Standard-Value
3638-WEABW,58,59.9,3505.1,No,1942.0649886234357,Standard-Value
6322-HRPFA,49,59.6,2970.3,No,1932.3384527872583,Standard-Value
6865-JZNKO,30,55.3,1530.6,No,1792.9247724687145,Standard-Value
6467-CHFZW,47,99.35,4749.15,Yes,3221.1044510807737,High-Value
8665-UTDHZ,1,30.2,30.2,Yes,979.1379408418658,Standard-Value
5248-YGIJN,72,90.25,6369.45,No,2926.0661973833903,High-Value
8773-HHUOZ,17,64.7,1093.1,Yes,2097.6895620022756,Standard-Value
3841-NFECX,71,96.35,6766.95,No,3123.839092718999,High-Value
4929-XIHVW,2,95.5,181.65,No,3096.2805745164965,High-Value
6827-IEAUQ,27,66.15,1874.45,No,2144.7011518771333,Standard-Value
7310-EGVHZ,1,20.2,20.2,No,654.92007963595,Standard-Value
3413-BMNZE,1,45.25,45.25,No,1467.0858219567692,Standard-Value
6234-RAAPL,72,99.9,7251.7,No,3238.9364334470993,High-Value
6047-YHPVI,5,69.7,316.9,Yes,2259.7984926052336,Standard-Value
6572-ADKRS,46,74.8,3548.3,No,2425.14960182025,Standard-Value
5380-WJKOV,34,106.35,3549.25,Yes,3448.056953924915,High-Value
8168-UQWWF,11,97.85,1105.4,Yes,3172.4717718998863,High-Value
8865-TNMNX,10,49.55,475.7,No,1606.4995022753128,Standard-Value
9489-DEDVP,70,69.2,4872.35,No,2243.587599544938,Standard-Value
9867-JCZSP,17,20.75,418.25,No,672.7520620022754,Standard-Value
4671-VJLCL,63,79.85,4861.45,No,2588.879621729238,Standard-Value
4080-IIARD,13,76.2,981.45,No,2470.5401023890786,Standard-Value
3714-NTNFO,49,84.5,3906.7,No,2739.640927189989,Standard-Value
5948-UJZLF,2,49.25,97.0,No,1596.7729664391354,Standard-Value
7760-OYPDY,2,80.65,144.15,Yes,2614.8170506257115,Standard-Value
7639-LIAYI,52,79.75,4217.8,No,2585.637443117179,Standard-Value
2954-PIBKO,69,64.15,4254.1,No,2079.85757963595,Standard-Value
8012-SOUDQ,43,90.25,3838.75,No,2926.0661973833903,High-Value
9420-LOJKX,15,99.1,1426.4,Yes,3212.9990045506256,High-Value
6575-SUVOI,25,69.5,1752.65,No,2253.314135381115,Standard-Value
7495-OOKFY,8,80.65,633.3,Yes,2614.8170506257115,Standard-Value
4667-QONEA,60,74.85,4456.35,No,2426.77069112628,Standard-Value
1658-BYGOY,18,95.45,1752.55,Yes,3094.6594852104668,High-Value
8769-KKTPH,63,99.65,6311.2,No,3230.8309869169516,High-Value
5067-XJQFU,66,108.45,7076.35,No,3516.142704778157,High-Value
3957-SQXML,34,24.95,894.3,No,808.92356370876,Standard-Value
5954-BDFSG,72,107.5,7853.7,No,3485.3420079635953,High-Value
0434-CSFON,47,100.5,4707.1,No,3258.389505119454,High-Value
1215-FIGMP,60,89.9,5450.7,No,2914.7185722411837,High-Value
0526-SXDJP,72,42.1,2962.0,No,1364.9571956769057,Standard-Value
0557-ASKVU,18,54.4,957.1,No,1763.7451649601821,Standard-Value
5698-BQJOH,9,94.4,857.25,Yes,3060.616609783846,High-Value
5122-CYFXA,3,75.3,244.1,No,2441.360494880546,Standard-Value
8627-ZYGSZ,47,78.9,3650.35,No,2558.078924914676,Standard-Value
3410-YOQBQ,31,79.2,2497.2,No,2567.8054607508534,Standard-Value
3170-NMYVV,50,20.15,930.9,No,653.2989903299203,Standard-Value
7410-OIEDU,10,79.85,887.35,No,2588.879621729238,Standard-Value
2273-QCKXA,1,49.05,49.05,No,1590.288609215017,Standard-Value
0731-EBJQB,52,20.4,1090.65,No,661.4044368600682,Standard-Value
1891-QRQSA,64,111.6,7099.0,No,3618.2713310580207,High-Value
8028-PNXHQ,62,24.25,1424.6,No,786.2283134243459,Standard-Value
5630-AHZIL,3,64.5,177.4,No,2091.205204778157,Standard-Value
2673-CXQEU,56,110.5,6139.5,No,3582.60736632537,High-Value
6416-JNVRK,46,55.65,2688.85,No,1804.2723976109216,Standard-Value
5590-ZSKRV,8,54.65,482.25,No,1771.85061149033,Standard-Value
0191-ZHSKZ,30,74.75,2111.3,No,2423.528512514221,Standard-Value
3887-PBQAO,45,25.9,1216.6,No,839.724260523322,Standard-Value
5919-TMRGD,1,79.35,79.35,Yes,2572.668728668942,Standard-Value
8108-UXRQN,11,50.55,565.35,No,1638.9212883959044,Standard-Value
9191-MYQKX,7,75.15,496.9,Yes,2436.4972269624577,Standard-Value
9919-YLNNG,42,103.8,4327.5,No,3365.3813993174062,High-Value
0318-ZOPWS,49,20.15,973.35,No,653.2989903299203,Standard-Value
4445-ZJNMU,9,99.3,918.75,No,3219.483361774744,High-Value
4808-YNLEU,35,62.15,2215.45,No,2015.0140073947668,Standard-Value
1862-QRWPE,48,20.65,1057.0,No,669.5098833902161,Standard-Value
2796-NNUFI,46,19.95,927.1,No,646.814633105802,Standard-Value
3016-KSVCP,29,33.75,1009.25,No,1094.235281569966,Standard-Value
4767-HZZHQ,30,82.05,2570.2,No,2660.2075511945395,Standard-Value
2424-WVHPL,1,74.7,74.7,No,2421.9074232081916,Standard-Value
7233-PAHHL,66,84.0,5714.25,No,2723.430034129693,Standard-Value
6067-NGCEU,65,111.05,7107.0,No,3600.439348691695,High-Value
9848-JQJTX,72,100.9,7459.05,No,3271.358219567691,High-Value
8637-XJIVR,12,78.95,927.35,Yes,2559.7000142207057,Standard-Value
9803-FTJCG,71,66.85,4748.7,No,2167.396402161547,Standard-Value
0278-YXOOG,5,21.05,113.85,Yes,682.4785978384529,Standard-Value
3212-KXOCR,52,21.0,1107.2,No,680.8575085324233,Standard-Value
4598-XLKNJ,25,98.5,2514.5,Yes,3193.545932878271,High-Value
6380-ARCEH,1,20.2,20.2,No,654.92007963595,Standard-Value
3679-XASPY,1,19.45,19.45,No,630.6037400455062,Standard-Value
7123-WQUHX,38,95.0,3605.6,No,3080.0696814562007,High-Value
5386-THSLQ,66,45.55,3027.25,No,1476.8123577929466,Standard-Value
3192-NQECA,68,110.0,7611.85,Yes,3566.3964732650743,High-Value
6180-YBIQI,5,24.3,100.2,No,787.8494027303755,Standard-Value
6728-DKUCO,72,104.15,7303.05,No,3376.729024459614,High-Value
9750-BOOHV,32,30.15,927.65,No,977.5168515358362,Standard-Value
8597-CWYHH,43,94.35,3921.3,No,3058.9955204778157,High-Value
2848-YXSMW,72,19.4,1363.25,No,628.9826507394766,Standard-Value
0486-HECZI,55,96.75,5238.9,Yes,3136.8078071672358,High-Value
4549-ZDQYY,52,57.95,3042.25,No,1878.8425056882825,Standard-Value
5712-AHQNN,43,91.65,3954.1,No,2971.4566979522187,High-Value
4846-WHAFZ,37,76.5,2868.15,Yes,2480.266638225256,Standard-Value
5256-SKJGO,64,54.6,3423.5,No,1770.2295221843005,Standard-Value
3071-VBYPO,3,89.85,248.4,No,2913.0974829351535,Standard-Value
9560-BBZXK,36,31.05,1126.35,No,1006.6964590443687,Standard-Value
