Feature,Coefficient,Absolute_Coefficient
S-P4,0.8915112326615775,0.8915112326615775
S-P2,0.8759232624939852,0.8759232624939852
S-P3,0.8513712475201307,0.8513712475201307
S-P1,0.7234378242406116,0.7234378242406116
Total_Quantity,0.6484882724622463,0.6484882724622463
Q-P1,0.22821382468158097,0.22821382468158097
Q-P3,0.1570795659631231,0.1570795659631231
Q-P2,0.13815824329558102,0.13815824329558102
Q-P4,0.12503663852196048,0.12503663852196048
Date_2017-08-03,2.4284350353713146e-07,2.4284350353713146e-07
Date_2014-02-14,-2.4220145013769643e-07,2.4220145013769643e-07
Date_2015-03-23,-2.4019658480464826e-07,2.4019658480464826e-07
Date_2018-05-09,-2.3853341347590784e-07,2.3853341347590784e-07
Date_2011-05-25,-2.3569860996687165e-07,2.3569860996687165e-07
Date_2022-09-08,-2.322222406252501e-07,2.322222406252501e-07
Date_2011-05-20,-2.2949116028363832e-07,2.2949116028363832e-07
Date_2020-02-20,-2.283816002615375e-07,2.283816002615375e-07
Date_2020-03-11,-2.2554200906156696e-07,2.2554200906156696e-07
Date_2015-10-27,-2.2530637891024057e-07,2.2530637891024057e-07
Date_2011-08-16,-2.2440810121480777e-07,2.2440810121480777e-07
Date_2021-05-31,-2.2431315376148876e-07,2.2431315376148876e-07
Date_2022-09-20,2.2266960017172627e-07,2.2266960017172627e-07
Date_2021-05-09,-2.210194761945805e-07,2.210194761945805e-07
Date_2016-11-14,-2.208080551981934e-07,2.208080551981934e-07
Date_2011-04-14,-2.206319350168588e-07,2.206319350168588e-07
Date_2013-05-22,2.1992135434573504e-07,2.1992135434573504e-07
Date_2023-01-21,2.1991804357824742e-07,2.1991804357824742e-07
Date_2011-02-26,2.1690833977905759e-07,2.1690833977905759e-07
Date_2011-06-13,2.1591838447321288e-07,2.1591838447321288e-07
Date_2020-01-17,2.1495788380321713e-07,2.1495788380321713e-07
Date_2019-06-01,-2.1332439803278068e-07,2.1332439803278068e-07
Date_2020-08-19,-2.1303794034978133e-07,2.1303794034978133e-07
Date_2016-09-27,-2.12199540312584e-07,2.12199540312584e-07
Date_2020-01-25,2.1192562686817768e-07,2.1192562686817768e-07
Date_2021-08-27,-2.1051290827775127e-07,2.1051290827775127e-07
Date_2020-02-08,2.102948538309885e-07,2.102948538309885e-07
Date_2020-10-15,-2.08794357368814e-07,2.08794357368814e-07
Date_2016-07-14,-2.0867583505789512e-07,2.0867583505789512e-07
Date_2017-03-26,2.0720201677880533e-07,2.0720201677880533e-07
Date_2021-04-18,2.0599135328713717e-07,2.0599135328713717e-07
Date_2014-10-09,2.0381268776645013e-07,2.0381268776645013e-07
Date_2020-07-15,2.03593308649185e-07,2.03593308649185e-07
Date_2010-12-30,2.0297863689202994e-07,2.0297863689202994e-07
Date_2020-08-22,-2.0297505912197476e-07,2.0297505912197476e-07
Date_2019-07-18,-2.0293405753301007e-07,2.0293405753301007e-07
